Tags,Tag,Question ID,Title,Creation Date,Answer Count,View Count,Score
android,android,77738154,how to redesign the permission dialog window for caapturing the screen?,1703994129,0,11,0
android,android,71036988,App Published under Closed Testing Track but not able to update from Play Store,1644336076,3,949,4
spring-boot,spring-boot,77738117,How to push config changes using spring-cloud-bus for local resource served via native profile?,1703992740,0,10,0
"hibernate,jpa",hibernate,77731147,Jpa @CollectionTable very slow query,1703841722,1,49,1
docker,docker,77701652,How to authenticate into mongoDB?,1703218118,0,50,-2
docker,docker,73260016,Start rasa x service needed EC2 instance using docker container which uses docker image,1659791469,0,148,0
"android,kotlin",android,77738043,How to select the day and change the background color on the calendar (kizitonwose),1703989552,0,9,0
"android,kotlin",android,77737676,How to use object animator for background color of items in RecyclerView?,1703977367,2,19,0
spring-boot,spring-boot,77738013,Entity design for user groups and contacts,1703988364,0,12,0
android,android,75681051,Fcm notification shown by both Firebase_messaging sdk and flutter local notifications package in flutter,1678342900,1,759,2
android,android,24924629,Force the app to stay in portrait mode despite another app&#39;s hack,1406172358,0,552,0
android,android,77738003,Unable to show a floating window in Android app during call state changes,1703987949,0,17,0
spring-boot,spring-boot,77737995,Intellij community Spring boot Java - Unable to obtain connection from database: Falha de logon do usuario &#39;sa&#39;,1703987665,0,12,-1
android,android,77737927,Android Studio on Windows does not have JDK path,1703985246,1,12,1
json,json,77737970,Editing multiple base64 strings in python,1703986668,0,29,0
docker,docker,77734617,Dockerizing Golang with Apache-Kafka,1703900690,0,34,-1
kotlin,kotlin,77737943,Android : Unable to instantiate application &quot;packageName&quot; : ClassNotFoundException,1703985850,0,14,0
android,android,77737735,Android studio Log.i() unable to log all lines inside a for loop,1703979370,1,16,0
"spring-boot,hibernate",spring-boot,77737918,org.h2.jdbc.JdbcSQLIntegrityConstraintViolationException: NULL not allowed for column &quot;STOCK&quot; Error,1703984995,0,13,0
spring-boot,spring-boot,77737928,How to send custom alert email from Spring boot application using Azure services?,1703985285,0,14,-1
kotlin,kotlin,77737863,Kotlin - Inflated another xml is not working,1703982974,1,20,0
android,android,68153978,memu emulator error &quot;The core process of emulator has ended &quot;,1624817100,2,8251,0
android,android,69481399,Android Studio - Required for building and installing your app on Android,1633610609,3,11736,6
kotlin,kotlin,77721895,How to import external fonts to the app at runtime in kotlin?,1703680346,0,15,0
spring-boot,spring-boot,77737876,Spring Boot 3.2.1 multiple .properties files per profile,1703983434,0,11,0
spring-boot,spring-boot,77737867,Springboot JPA Repository,1703983237,0,12,0
android,android,77734414,How to connect Android Java App to MongoDB,1703894049,0,21,0
docker,docker,74192677,Strange behaviour when try to extract a zip file in docker container with laravel,1666693919,1,617,1
"spring-boot,hibernate,jpa",spring-boot,73128829,Hibernate soft delete queries return deleted grandchildren,1658863892,3,749,0
json,json,73591663,Count Api return undefinded response,1662202508,2,785,2
android,android,31956117,How to create multiple connection at same time in Android bluetooth low energy (BLE)?,1439354143,2,9899,6
android,android,77737798,Loading xml file programmatically into View in Android App Studio,1703981010,0,21,0
spring-boot,spring-boot,77737770,"When retrieving an entity with a ManyToMany relationship, the data is not being displayed",1703980298,0,5,0
docker,docker,61592088,Why is Docker filling up /var/lib/docker/overlay2?,1588594736,7,44919,46
android,android,77737126,Android rebind to foreground service after configuration change,1703963477,0,9,0
hibernate,hibernate,77734293,[Spring][JPA] Automatic save when ManyToMany,1703890386,1,26,0
json,json,77727693,Sagemaker JSON decoding time - Tensorflow to Pytorch,1703776543,0,13,0
"android,kotlin",android,77737720,ViewCompat&#39;s inset listener returns wrong values for older APIs,1703978737,0,9,0
spring-boot,spring-boot,55022750,@Autowired object is always null,1551873947,3,121,-3
android,android,77737506,Problem with Mocking Behaviour of Toast in Android,1703972915,1,27,0
docker,docker,77737707,init-db.js does not execute and the Mongo container which I run crashes on the first run but is running normally if restarted. &quot;Connection Closed&quot;,1703978360,0,7,0
json,json,77737704,Retrieving data from nested fields in Tkinter UI,1703978310,0,8,0
docker,docker,77736889,Docker: ModuleNotFoundError: No module named &#39;tabulate&#39;,1703958664,0,22,0
spring-boot,spring-boot,77737678,CORS &#39; Access-Control-Allow-Origin header&#39; not found. React front-end/Spring boot Java Backend,1703977488,0,25,0
spring-boot,spring-boot,77737533,How to authenticate my own users in spring security,1703973497,0,34,-2
spring-boot,spring-boot,77737667,Custom annotation in rest controller,1703977207,0,20,-3
spring-boot,spring-boot,77737660,Accessing Private Repositories After GitHub OAuth 2.0 Authorization in a Project,1703976978,0,8,0
json,json,62196211,"Insert Statement Node-Red, MySQL, JSON",1591278263,2,1788,1
json,json,77737429,"Python Pandas: why are some data missing from my dict when I get data from JSON-formatted text via dict(line.strip().split(None, 1)?",1703970992,1,33,0
android,android,70146596,How do I ask the user to enable the MANAGE_EXTERNAL_STORAGE permission in React Native?,1638126446,2,3218,4
android,android,77735584,Unable to get provider com.google.android.gms.ads.MobileAdsInitProvider when using Admob with C++,1703931878,1,28,0
android,android,77734051,Android for Cars - access MainActivity variables from MediaBrowserServiceCompat service,1703884684,0,30,0
spring-boot,spring-boot,77733114,Springboot metric &quot;process_files_open&quot; shows large numbers for both &quot;open&quot; and &quot;max&quot;,1703869208,1,18,-3
spring-boot,spring-boot,74632141,Spring boot 3 upgrade: java.lang.NoClassDefFoundError: org/springframework/util/SocketUtils,1669830802,1,8264,6
"android,kotlin",android,77737539,How do I implement WebView tabs in Android Jetpack compose?,1703973665,0,18,0
android,android,77737076,How to save a file inside React Native project and access and edit it?,1703962486,1,17,0
docker,docker,75801495,Can&#39;t make deploy of .net api with railway,1679403145,1,294,1
android,android,77737487,how to restrict websites with an app in flutter,1703972525,0,13,0
docker,docker,77736659,How to fix the &quot;Role &quot;john&quot; does not exist&quot; when deploying PostgreSQL using Docker?,1703954413,1,69,1
android,android,77737482,error: Multiple arb files with the same &#39;en&#39; locale detected,1703972302,0,12,0
json,json,77728888,Return arguments from function calling with OpenAI API when streaming?,1703793064,0,33,0
"docker,maven",docker,77734564,Jib Maven Plugin Error: &quot;Missing target image parameter&quot; When Building Docker Image,1703898916,0,20,0
"maven,jpa",maven,77732452,Maven WildFly Deployment Failure with Conflicting JNDI Bindings and Missing Dependencies,1703859742,0,11,0
android,android,77737460,Update a value in a variable,1703971792,0,20,0
android,android,77737439,Whatsapp Database file (.crypt14 file) got accidentally deleted. Is there any other way to recover the deleted whatsapp database files?,1703971379,0,13,-2
android,android,77737434,"I am trying to set Active SIM for calls, sms and data programatically",1703971162,0,13,0
docker,docker,77737428,Problem with Google Cloud Run connecting to my cloudbuild file,1703970939,0,15,0
maven,maven,39616344,How to disable Javadoc warnings in Maven Javadoc Plugin?,1474460232,7,25480,34
android,android,24187249,Android Activity Dialog freezes the screen once exited until back is pressed,1402584042,2,1483,2
android,android,77737296,No View Found Error While Adding a DialogFragment Inside RecyclerView.ViewHolder,1703967925,0,24,0
javafx,javafx,77736437,GUI Overlapping Issue: SceneBuilder Design Compiled in NetBeans,1703950472,0,18,-1
android,android,77737346,Is it okay to reload interstitial ad onAdDismissedFullScreenContent()?,1703969076,0,9,0
kotlin,kotlin,77736520,Jetpack Compose forgets a remembered value when switching tabs,1703951882,1,21,0
android,android,77737337,How to develop an app whith a 3d part on it?,1703968884,0,20,0
android,android,77737333,java.util.stream.Collector com.google.common.collect.ImmutableMap.toImmutableMap,1703968816,0,8,0
json,json,77737263,JSON serialize with item name from JSON-data,1703967085,0,27,0
android,android,77706022,On my Wear watch I have a whitespace on top of a Custom action sheet in Xamarin forms Android,1703283361,0,17,1
"android,gradle",android,76182805,gradle error linked to namespace on build.gradle file,1683293817,2,4729,5
docker,docker,77736611,Cannot access Flask Rest api with docker anywhere on internet via VPS,1703953584,1,41,-1
kotlin,kotlin,77723247,How to fix Coroutine Timeout in Unit Test,1703698105,1,32,0
docker,docker,54546269,Is there a way to pass debug secrets to a docker container from a asp.net console application using generic host?,1549424135,2,1556,1
docker,docker,77737055,Docker logs exception on docer desktop. Exception in thread &quot;main&quot; java.util.NoSuchElementException,1703962023,1,29,-3
docker,docker,77723173,How to pull multiple .Net repos inside a devcontainer volume using SSH key,1703697120,1,28,1
android,android,77729939,Touch response delay in Unity game on mobile devices,1703815518,1,19,0
android,android,77737244,"How do I update my list View when my button is clicked, in Android",1703966673,0,16,0
android,android,77736316,How to build huawei app store application?,1703948245,0,14,0
json,json,6672656,How can I beautify JSON programmatically?,1310515166,5,49199,45
docker,docker,77737226,Docker and Postgresql: Role &quot;username: does not exist,1703965919,0,18,0
docker,docker,64212147,Cannot connect to mariadb on kubernetes when using secret,1601913519,2,1035,0
android,android,75278812,Atribute FileProvider is presented at two libraries,1675031034,1,188,0
docker,docker,39508018,docker: driver failed programming external connectivity on endpoint webserver,1473932967,20,443642,183
docker,docker,77737145,How can i fix problem with Docker inside AWS Codebuild?,1703963871,0,17,0
spring-boot,spring-boot,77735585,Refreshing expired JWT token automatically in Spring,1703931883,2,33,0
docker,docker,77737136,What is the advantage/disadvantage of using database on system and containerized database,1703963718,0,21,-3
docker,docker,77736331,How do I add Environmental Variables to a React App&#39;s Docker image deployed with Cloud Run?,1703948433,1,14,0
json,json,77688887,JSON Pickle serialize object list,1703038039,5,234,3
android,android,77737130,Xamarin MaterialDesignControlsPlugin MaterialSliderControl not rendering correctly on Android,1703963567,0,18,1
docker,docker,77736789,Compiling error with LOG field from @Slf4j Lombok when compiling inside docker,1703956549,0,43,-3
spring-boot,spring-boot,64278851,Spring Cloud Gateway - Unable to find GatewayFilterFactory with name [Filter_Name],1602241751,5,8982,4
android,android,77736297,How to update notification power efficiently every minute to display time in hour and minute in Android?,1703947815,1,40,0
android,android,77737066,Popup markers in MapBox SDK 10.10.1 for Android,1703962306,1,9,0
docker,docker,61576908,GitHub Actions - Running DotNetCore Tests with Neo4j service dependency,1588519402,1,170,1
android,android,44798378,Google Play App Signing - KeyHash Mismatch,1498641400,6,21479,40
json,json,49987387,How to send an array of JSON string to API in c#,1524506816,2,454,1
json,json,37795797,Adding Attachment using API for Visual Studio Team Services (was Visual Studio Online),1465838903,2,3966,4
spring-boot,spring-boot,77736372,Why does getFile() in org.springframework.core.io.AbstractResource throw an exception?,1703949311,2,44,0
android,android,77737006,Selecting Optimal Color Space for SkSurface,1703960946,0,6,0
"android,kotlin",android,77209561,How can I make purchase with RevenueCat by Kotlin?,1696144624,0,76,0
spring-boot,spring-boot,77721687,Postgres database in Ubuntu Terminal different from that in Sql Shell and pgAdmin,1703677590,0,28,0
json,json,77728769,How to get a bundle from the Steam API,1703791225,0,26,0
android,android,77736927,shows error 31008 while doing client to client call in Twilio,1703959457,0,22,0
android,android,19998050,Android Error: Binary XML file line #11: Error inflating class fragment when using map fragment,1384508802,7,11799,2
json,json,72909727,Not able to fetch json data from a &quot;SINGLE-TYPE&quot; content-type in strapi,1657274378,1,2232,3
spring-boot,spring-boot,77721066,SpringBoot Application : reading URL going into a waiting state and stuck my project,1703669378,1,62,0
spring-boot,spring-boot,77736883,How can I run a deep learning model in java spring boot?,1703958517,0,31,-5
"spring-boot,maven",spring-boot,77736859,"In localhost execution of the project, I&#39;m encountering an &#39;Invalid bound statement (not found)&#39; error",1703958009,0,13,0
android,android,77736512,Xamarin.Forms net project,1703951770,0,30,0
javafx,javafx,77733007,How to save an image snapshot of a Pane as a BMP?,1703867641,1,51,2
kotlin,kotlin,76080286,How can i add month header to my calendar (kizitonwose),1682175521,1,436,1
docker,docker,46711990,Error: pg_config executable not found when installing psycopg2 on Alpine in Docker,1507817873,6,101321,118
"android,kotlin",android,77135652,Download the file by touching the lazy column items at the same time in Jetpack Compose,1695135103,1,132,2
maven,maven,77279512,How to make a Spring lib project dynamically enable classes according to user dependencies,1697104108,2,51,0
android,android,77736614,API response taking too long from real device,1703953590,1,20,0
spring-boot,spring-boot,77451750,Spring boot : @Async is not working properly,1699520446,3,83,-1
android,android,77652568,"Android app(java) crashes on real device, but perfectly works on emulator",1702461393,0,45,-2
"kotlin,gradle",kotlin,76988533,java.lang.NoClassDefFoundError: io/mockk/proxy/jvm/advice/jvm/JvmMockKProxyInterceptor ERROR while mocking org.w3c.dom.Node using mockk,1693162969,2,137,1
spring-boot,spring-boot,77736746,"The method addAttribute(String, String) is undefined for the type Model",1703955934,0,10,-1
"android,kotlin",android,77736738,How I can run mp3 file from Downloads,1703955835,0,21,-1
android,android,77703509,"How do I make an Android PWA open external links in the actual browser, not a Web view?",1703246306,1,44,0
docker,docker,77155254,Jenkins Docker Compose: Volumes not mounting correctly in a docker compose executed from inside a jenkins container,1695363482,1,102,0
json,json,77736321,Recovering the original JSON from SwaggerParseResult,1703948331,1,17,0
android,android,77736674,"Hello. How can I get goldensetra dataset for three datasets c#, java and android with labels T, C and no-shaped",1703954684,0,11,-3
android,android,71054138,Jetpack Compose inner shadow,1644427922,3,15599,7
kotlin,kotlin,77734434,Mutiny how to interupt chain operation,1703894810,0,25,0
docker,docker,77736486,Communation between two Azure Container App return 502 Bad Gateway. How to fix it?,1703951321,1,43,-3
hibernate,hibernate,61637545,How to solve the N+1 problem in Spring Data JPA?,1588774736,1,2279,4
docker,docker,77736438,Tensorboard does not reload when using S3 compatible storage,1703950478,0,13,0
json,json,69282808,Can I get the result in a Array instead of JSON array from sqlite3 database in node?,1632308067,2,365,0
kotlin,kotlin,77736594,"Why AlertDialog with material3 won&#39;t let me use title, text and button?",1703953173,0,11,0
"android,kotlin",android,77736590,Notification controls not working on OnePlus device in Kotlin music player app,1703953144,0,9,0
android,android,77622403,Android : Failed to attach: unable to connect to remote frida-server: closed,1701974388,0,107,0
android,android,77731499,Android build fails because of missing import,1703846814,1,25,0
docker,docker,77732318,CASA APK Scan - NoCredentialsError: Unable to locate credentials,1703857719,2,25,0
android,android,77710880,Crashhandler_die: fatal: Internal error at android studio,1703427090,0,40,-1
spring-boot,spring-boot,35277727,How to use RequestBodyAdvice,1454959795,2,8445,3
json,json,11083280,fbexternal-a.akamaihd.net/safe_image.php returns a 1x1 image,1340023856,1,22491,5
spring-boot,spring-boot,77736533,Springboot 3.2 with Jakarta Faces 4.0 Example Project,1703952051,0,28,-3
spring-boot,spring-boot,57244537,Springboot: need to be informed/notified when Web-Server is Up,1564344198,2,118,0
docker,docker,77736519,docker: &#39;compose&#39; is not a docker command,1703951876,0,23,-1
docker,docker,77733286,Best way to initialize named volume from Docker image/container,1703871619,1,37,-2
android,android,77736470,"Fluttter android (OS Error: Permission denied, errno = 13) write to Downloads folder",1703950972,0,12,0
kotlin,kotlin,77736442,Creating a wave-like text animation in jetpack compose: sequence disruption issue,1703950515,0,24,0
"android,json",android,76290794,BeeWare Android App development: How can I access and save data on a phone with my app,1684512622,3,508,1
android,android,2701078,How to use Git on Android?,1272047629,15,122752,88
gradle,gradle,77736458,androidStudio - my country code picker doesnt works,1703950769,0,8,-1
docker,docker,54197988,docker installation issue file not found after installation,1547551921,3,15070,6
docker,docker,77736447,Binary file not getting env if executed as entrypoint in Dockerfile,1703950613,0,15,0
android,android,77736424,Flutter Health plugin fetch workouts in android,1703950346,0,11,0
jpa,jpa,25385348,"Mapping MySql views to JPA Entitites, which unique id to use?",1408456675,2,562,5
json,json,77736403,How to Create Multiple JSON File from a Join Query on SQL DB,1703950031,0,16,0
"spring-boot,kotlin",spring-boot,66018084,How to enable spring security kotlin DSL?,1612302365,5,4794,23
"android,kotlin",android,77736234,UI not reflecting changes,1703946655,0,32,0
maven,maven,77736371,Force Maven to use original versions on dependencies,1703949307,0,16,0
json,json,77736218,"Getting ERROR: Please install mysql2 package manually, even though installed",1703946398,0,27,0
maven,maven,59194387,Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:3.0.0-M4:test (default-test),1575546160,2,8686,0
json,json,77734365,"why keeps the value of Map&lt;String, dynamic&gt; empty (Flutter application)?",1703892549,1,40,-1
gradle,gradle,77736336,How to fix groovy and gradle issue in Android studio with flutter,1703948547,0,12,0
docker,docker,77736033,"Docker compose, Postgres/PGAdmin setup",1703942082,1,26,0
json,json,31749434,nodejs app crashes after inactivity on database connection,1438355042,2,1915,2
docker,docker,59683862,Flink Job Cluster vs Session Cluster - deploying and configuration,1578667169,1,2190,2
hibernate,hibernate,77732410,Unsatisfied dependency for type org.hibernate.search.mapper.orm.session.SearchSession using programmatic mapping in Quarkus Hibernate Search,1703859193,0,10,0
json,json,58377892,C# httpclient authorize header not working for me?,1571059755,1,347,2
android,android,77736281,React native Expo touches not registering with EAS,1703947570,0,13,0
hibernate,hibernate,77736272,Passwords for registration and login of BCryptPasswordEncoder in Spring Security 6 do not match,1703947371,0,34,0
javafx,javafx,77736101,remove redudant Singleton on Java,1703943675,0,49,-3
android,android,77315862,how to keep device enrolled in android management API after factory reset?,1697628341,1,69,0
android,android,77736249,Is it a good practice to reload interstitial ad onAdDismissedFullScreenContent() and starting a new activity?,1703946954,0,8,-1
android,android,76932921,Expo push token not working on standalone app,1692399146,2,102,-1
"kotlin,gradle",kotlin,77736225,Can&#39;t link external config file to FatJar in Ktor,1703946474,0,18,0
docker,docker,65398641,Docker connect SQL Server container non-zero code: 1,1608577967,7,16986,31
android,android,77726539,Unable to connect to local server facing Network error IOException: connect failed: ETIMEDOUT (Connection timed out),1703762162,0,45,-1
android,android,77736023,An error occurred while opening the emulator,1703941761,1,20,0
android,android,10901023,Why does Android ignore OnPreferenceClickListener() that returns true?,1338913299,4,1520,1
kotlin,kotlin,77736078,kotlin compiles my code with errors. seems like i&#39;m not doing something right,1703943095,1,21,-3
android,android,77732202,Even though I didn&#39;t send any data via intent I get this error: FAILED BINDER TRANSACTION,1703856059,1,28,0
"spring-boot,hibernate",spring-boot,77661692,How does where clause in One to many relation work in java,1702571586,1,55,1
json,json,57001861,Problem in the utf-8 encoding of an API response,1562915466,1,15656,0
android,android,67791021,Flutter local notification with action buttons and image,1622558687,2,11828,11
spring-boot,spring-boot,77732582,How can I send a multipart request with a file and a JSON payload?,1703861416,0,24,0
android,android,76965717,I need to allocate physical swapspace on termux on android to use dotnet,1692839904,1,161,0
docker,docker,56062960,How to update wordpress translations via wp-cli,1557416033,3,3277,7
android,android,34810794,Google sign in API token expiration,1452859815,2,2605,4
android,android,77416931,Cross-device passkeys are not working on Android,1699017126,2,355,0
json,json,77718867,API implementation in Excel,1703619392,1,47,1
kotlin,kotlin,77072676,FATAL EXCEPTION: main java.lang.IllegalArgumentException: CreationExtras must have a value by `SAVED_STATE_REGISTRY_OWNER_KEY`,1694269729,1,133,0
android,android,77736039,What are the advantages of using a Store and a Reducer in Composable Architecture?,1703942180,0,19,0
android,android,77735990,Execution failed for task &#39;:app:kaptDebugKotlin&#39; while implementing Hilt with Android Studio Hedgehodge 2023.1.1,1703941234,0,17,0
kotlin,kotlin,77736020,Database MySQL or firebase,1703941722,0,32,-3
spring-boot,spring-boot,77713556,@Transactional(propagation = Propagation.REQUIRES_NEW) doesn&#39;t create a new connection on JBoss EAP,1703505212,1,70,0
android,android,77735080,How to change the color of systemNavigationBar to match the color of the NavigationBar in Flutter when the app theme uses a dynamic color scheme?,1703918726,0,25,0
spring-boot,spring-boot,27170772,Where to put static files such as CSS in a spring-boot project?,1417091088,13,128966,87
gradle,gradle,76123807,my project&#39;s Gradle version is incompatible with the Java version that Flutter is using for Gradle,1682622015,3,15916,1
"android,kotlin",android,67294776,registerForActivityResult not working when second activity orientation changes,1619591081,3,9724,6
json,json,19132097,Compare JSON structure in ruby,1380699634,3,12856,1
android,android,77704685,doesn&#39;t read the QR codes on my smartphones. how can I do?,1703261327,1,27,0
android,android,75043114,Android build produces error &quot;Attempt to create a global synthetic for &#39;Record desugaring&#39; without a global-synthetics consumer.&quot;,1673118879,3,1832,3
docker,docker,76960322,Setting $BASH_ENV to a script outputs entire contents of script to Jenkins console,1692785168,1,76,2
"android,kotlin",android,63971569,android:autoSizeTextType in Jetpack Compose,1600536698,17,33791,55
"android,kotlin",android,77735935,How to interpret &quot;merged manifest&quot; content in Android studio to fix the error &#39;Manifest merger failed with multiple errors&#39; in Android studio?,1703939897,1,24,0
json,json,60504954,Getting data from API in C#,1583230641,2,593,0
docker,docker,77735728,Flask + Docker =&gt; No connection,1703934844,2,54,0
android,android,56727980,How to get list of local videos and display them in grid format in React Native?,1561326517,2,713,2
docker,docker,77735705,Unable to connect to Docker Host network,1703934572,0,28,-1
android,android,77735379,Firebase vulnerability in Realtime Database with access token from files,1703926719,0,15,0
json,json,77733297,Download API JSON file in R and convert to dataframe,1703871816,0,49,0
android,android,77733588,Qt 6.6.1 Android Build Error: use of undeclared identifier &#39;GL_DRAW_FRAMEBUFFER&#39;,1703876313,0,47,-1
android,android,77730518,App already has local storage (sharedPrefrences) on fresh install flutter,1703830702,0,46,2
spring-boot,spring-boot,77735290,Error: connect ECONNREFUSED 127.0.0.1:8080 in postman with springboot (Java),1703924412,0,33,-1
android,android,22631011,download failed because resources could not be found in some of android devices,1395741568,1,10144,0
docker,docker,49628505,postgres container doesn&#39;t take password from environment variable,1522753539,1,1373,0
spring-boot,spring-boot,77620023,How can a Spring Cloud Gateway expose its (dynamic) routes through a Swagger UI?,1701952300,1,62,0
android,android,77714573,"Flutter, How do I default an RxBool variable to a value from Firebase",1703527319,0,35,0
"docker,spring-boot",docker,50133244,File Upload by docker container,1525259454,1,16290,4
android,android,77735245,"Android SDK 34 AppCompatActivity.requestPermissions does not display permission dialog, but does with Android SDK 29",1703923414,2,33,0
json,json,77731550,In postman should json API response to be stored in a constant or variable like const jsonData (or)var jsonData in test scripts,1703847560,0,23,-1
android,android,77735775,Flutter Autofill not working with Android biometric verification,1703935956,0,12,0
kotlin,kotlin,77155917,Update a pinned device owner managed android app silently (in kiosk mode),1695370702,1,87,0
docker,docker,75820814,Is it possible to run a local Snowflake instance using Docker?,1679561057,1,2927,6
android,android,77735223,Push Notification doesn&#39;t appear like Heads-up in Flutter,1703922688,2,26,0
docker,docker,66146088,Docker gets error &quot;failed to compute cache key: not found&quot; - runs fine in Visual Studio,1612996365,24,386066,266
docker,docker,77721173,Docker Angular+Nginx error code 403 or 500,1703670547,1,34,0
android,android,76669481,"Ionic 7 (Angular), Capacitor, Error saving image to Firebase Storage",1689156832,2,107,0
maven,maven,77511739,Suppressing Javadoc 21 DocLint warnings specifically for &quot;no main description&quot;,1700414466,1,128,3
android,android,54762296,How to implement Branch SDK in my Flutter app,1550566792,4,3446,11
android,android,70998910,Augmented reality app : convert a drawing into a animated 3D model,1644071142,0,67,0
android,android,77733165,Any scrolling calendar that can start with the current date?,1703869894,0,36,1
android,android,77735513,How can i add a delete button in this app?,1703930221,2,53,0
spring-boot,spring-boot,77648069,Swagger UI put my every endpoint in the &quot;default&quot; group. Why is it doing it?,1702402856,1,31,-2
spring-boot,spring-boot,72485521,The provided definition does not specify a valid version field when render openapi,1654237766,2,7964,5
"android,kotlin",android,77735621,"Friends, I am making an Instagram clone and I am having problems following users, can you help me?",1703932873,0,31,0
android,android,77434647,My Cordova Splash Screen not working on Android,1699311222,1,121,0
"hibernate,jpa",hibernate,77735602,"In jpa, in which table should the associated key be saved?",1703932256,0,25,0
android,android,77720509,react-navigation optimizations in low-performance Android,1703660895,1,34,0
android,android,72864680,Implement CollapsingToolbar using Jetpack compose,1657001347,1,871,1
"android,kotlin",android,77735291,How to implement a collapsing header in Android with Motion Layout using Jetpack Compose?,1703924416,1,35,0
spring-boot,spring-boot,77735542,I want to connect to react login page when spring security is being added in the gradle project,1703930953,0,12,-1
"android,gradle",android,77721311,Unable to start existing react native project. Facing gradle issue,1703672371,1,60,0
android,android,77733253,"Flutter, How to conditionally display an icon if user and product boolean value match in the firestore?",1703871134,0,44,0
android,android,70992083,Android Error: Cannot resolve symbol &#39;PackageList&#39;,1644004023,4,11165,2
json,json,77735493,XML error. CLient cant get a simple response. Axios React node json,1703929680,0,22,0
android,android,77735480,Capacitor startActivityForResult() trigger callnack function on second activity start,1703929521,0,12,0
spring-boot,spring-boot,77717771,How does Spring distinguish which controller method to execute?,1703601539,0,49,-4
android,android,77732069,How do we code/edit react native mobile apps on android studio. (Not talking about the emulator or env setup but writing code in Android studio),1703854029,1,28,0
"spring-boot,gradle",spring-boot,77722354,&#39;Failed to determine a suitable driver class&#39; by running fat jar file,1703686148,0,22,0
android,android,77735092,Issue on Android 13 : Android — Repeat notification daily on specific time,1703919089,1,37,1
spring-boot,spring-boot,77735125,SpringBoot @ConfigurationProperties,1703919796,0,56,0
spring-boot,spring-boot,77734852,How to fix &#39;package org.springframework.jdbc.core does not exist&#39;,1703910155,2,24,0
android,android,77732157,How to set a custom icon to an Android / IOS push notification in expo react native app?,1703855564,1,24,0
"android,kotlin",android,77735382,Fragment is transparent and shows Activity below(changing to dark mode or light mode),1703926837,1,21,0
