Tag,Question ID,Title,Creation Date,Answer Count,View Count,Score
java;gradle,77729682,"I&#39;m trying to compile a minecraft mod, but I&#39;m getting an error that I don&#39;t understand",1703807619,0,18,-2
java;compiler-errors;cannot-find-symbol,25706216,What does a &quot;Cannot find symbol&quot; or &quot;Cannot resolve symbol&quot; error mean?,1410052328,18,1589549,538
java;selenium;jenkins;selenium-webdriver;microsoft-edge,57393690,Using `new EdgeOptions()` is preferred to `DesiredCapabilities.edge()` error launching Remote Microsoft Edge browser through Jenkins and Selenium,1565178259,2,9486,0
java;spring-boot;spring-mvc;jpa;spring-data-jpa,77728843,Error Creating Bean: Post processing of merged bean definition filed,1703792371,0,18,0
java;selenium-webdriver,77681024,Selenium 4.11.0 error - The path to the driver executable must be set by the webdriver.chrome.driver system property,1702923621,1,144,1
java;json;jackson;objectmapper,42621547,Jackson error &quot;Illegal character... only regular white space allowed&quot; when parsing JSON,1488791382,8,59878,26
java;maven;cloud-foundry;sap-business-technology-platform,77727530,cf push failed due to java runtime version error,1703774539,0,21,0
java;regex;jersey;openapi;swagger-editor,76435041,OpenAPI 3 Validation Error : should match format &quot;regex&quot;,1686251663,1,894,1
java;json;android-studio;junit;libgdx,77728077,Duplicate class error using com.googlecode.json-simple without disabling junit,1703781337,0,10,-1
java;spring-boot;build;jar,77723065,java jar no active profile set so java auto inactive error,1703695606,1,33,0
java;twitter;oauth-2.0;twitter-oauth;twitter-api-v2,77713165,Forbidden error message using Twitter API,1703496455,0,34,-1
java;spring-boot;multi-tenant;spring-boot-3;hibernate-6.x,77434924,CannotCreateTransactionException in Multi-Tenant Spring Boot App After Upgrading to Spring Boot 3 and Hibernate 6,1699317041,0,141,0
java;eclipse;yaml;metadata,62304206,Eclipse - YAML error : Expected a &#39;String&#39; but got a &#39;Mapping&#39; node,1591793967,1,7025,3
java;xml;validation;xsd-1.1,77722844,Error validating XML with XSD version 1.1 with Xerces,1703692783,1,84,0
java,77727371,java.io.EOFException: null,1703772721,0,51,0
java;spring-boot;hibernate-validator;customvalidator,77724410,spring boot validator doesnt return custom error message,1703719400,1,45,0
java;spring;hibernate,23314894,org.hibernate.HibernateException: No Session found for current thread 5,1398536738,2,13758,3
java;android;kotlin;android-studio;ktorm,77727165,Android Application using Ktorm should be a correct implementation but gets a ClassNotFoundException,1703769949,0,13,-1
java;eclipse;maven;access-denied,23986331,Maven Shading Error: Access is Denied,1401673657,6,15771,6
java;thymeleaf,49398215,"Error resolving template &quot;~{fragments/header&quot;, template might not exist or might not be accessible by any of the configured Template Resolvers",1521606610,2,4424,7
java;amazon-s3;aws-sdk-java-2.0,68757161,S3Exception: The request signature we calculated does not match the signature you provided,1628769860,2,18820,1
java;constructor;field;final,77726488,Initializing a final field in a constructor using Class.this.field = value gives an error whereas using this.field = value doesn&#39;t,1703761460,1,40,2
java;visual-studio-code,45743779,Visual Studio Code - Java - Import Errors and More,1502999097,12,154532,105
java;protocol-buffers;software-design,77726340,Optional field in proto file causing error,1703759586,0,17,-2
java;spring-boot;gradle,76020696,"On resolving build.gradle file with org.springframework.boot plugin, PermittedSubclasses requires ASM9 error shown",1681539900,1,1414,0
java;spring-boot;google-cloud-vertex-ai;google-gemini;gemini-ai,77717061,Google Gemini API error: &quot;The response is blocked due to safety reason.&quot; although I set the harm block threshold to BLOCK_NONE,1703590984,1,100,0
java;spring-boot;maven;checkstyle,77725757,"There is no hyperlinks in checkstyle errors after I run mvn clean package, I just can see plain text and can&#39;t click it to go to the code",1703751914,0,9,0
java;web-services,7479739,java.security.PrivilegedActionException while hitting webservices over https,1316488928,1,9954,6
java;spring-boot;annotations;project-reactor,56791929,Multiple annotation aspects interacting with reactor core chain cause IllegalStateException in method invocation,1561641454,0,815,2
java;oracle;hibernate;procedure,77720869,Hibernate org.hibernate.TransientObjectException: object references an unsaved transient instance,1703666800,1,34,0
java;modbus;rxtx,62427431,J2mod :I/O Exception- Failed to Read,1592391613,0,819,0
java;postgresql;io,17285340,PostgreSQL Exception: &quot;An I/O error occured while sending to the backend&quot;,1372108891,12,163431,34
java;arraylist,77725221,"Adding int[] matrix into ArrayList in Java, but got an error",1703742793,1,36,1
java;microsoft-graph-api,75899293,Azure Identity =&gt; ERROR in getToken() call with microsoft-graph,1680270508,2,1387,0
java;eclipse;gradle;minecraft;minecraft-forge,69998825,I&#39;m making a Minecraft Mod and I get the error &quot;mods.toml missing metadata for modid mymod&quot;,1637122166,2,13149,1
java;spring;oracle;jpa,77724969,how to resolve Spring boot Oracle Connection Error,1703736031,0,49,-1
java;gradle,72304659,java.lang.IncompatibleClassChangeError at DotenvPropertyLoader.java:11,1652963701,1,179,0
java;mysql;spring;hibernate;jpa,77724835,Hibernate Jpa Error: &quot;java.sql.SQLSyntaxErrorException: Table doesn&#39;t exist&quot;,1703732211,1,28,0
java;email;smtp,11203050,SMTPAddressFailedException: 550-Verification failed,1340697622,1,9844,1
java;maven;netbeans,77722896,Error in java project with maven Failed to execute goal org.codehaus.mojo:exec-maven-plugin:3.1.0:exec (default-cli) on project SistemaVentasBrensKi,1703693320,0,24,0
java;powershell;fabric;minecraft-fabric,77724271,Minecraft Fabric server error. sun.security.validator.ValidatorException,1703716518,0,45,0
java;gradlew,77724243,Why is gradle telling me &quot;error: release version 8 not supported&quot;?,1703715986,1,19,0
java;pdfbox;apache-commons-io,77721160,Minimal JRE gets PDFBOX 3.0.1 Loader Exception - What Module is Missing,1703670442,1,32,1
java;regex,33272062,In Java what is a dangling meta character and how do I correct this error?,1445477888,2,1610,-2
java;spring;spring-boot;spring-mvc;enums,77723947,Add custom validation annotation for Enum doesn&#39;t work because of HttpMessageNotReadableException,1703710080,0,14,-1
java;jsp,2322031,Why did Servlet.service() for servlet jsp throw this exception?,1266961933,6,310986,32
java;spring-boot;apache-camel;spring-camel;spring-boot-3,77722837,Getting error when starting to use spring boot 3 in my project that uses camel,1703692711,0,18,0
java;spring;cassandra;datastax-java-driver;spring-data-cassandra,77722662,Cassandra Connection Error [com.datastax.oss.driver.api.core.AllNodesFailedException:],1703690136,0,27,0
java;compiler-errors;compilation,77722452,Relative to java (Error while importing scanner),1703687382,1,34,-2
java;lambda;java-8;invokedynamic;methodhandle,27394032,BootstrapMethodError caused by LambdaConversionException caused by using MethodHandle::invokeExact as a method reference,1418190118,1,8030,5
java;jetty,77717579,Encountering Class Not Found Exception Error After Upgrading Jetty,1703598329,1,40,1
java;azure-web-app-service,77713310,How to resolve 200 Web App Error - Azure App Service?,1703499398,0,63,-3
java,50226876,error in getting correct hours and minutes,1525759418,1,139,-2
java;eclipse;error-handling,77721886,I am able to run Java projects in eclipse ide but not able to debug.While debugging it shows class not found error,1703680285,0,24,0
java;mysql;spring-boot;docker;testcontainers,77652761,Testcontainers throws ContainerLaunchException for timeout on MySQL 8.2 startup (failed log-matching),1702463003,1,65,0
java;spring;spring-boot;spring-mvc;spring-security,62486042,Error: connect ECONNREFUSED 127.0.0.1:8080 (Spring Framework),1592657470,3,13358,1
java;aggregator,77310910,Spring Batch Tasklet for File Validation - Need Exception Handling,1697562122,0,70,0
java;minecraft;minecraft-fabric,77716165,Minecraft Fabric API import errors,1703576267,0,32,0
java;jar;classpath;executable-jar,250166,NoClassDefFoundError while trying to run my jar with java.exe -jar...what&#39;s wrong?,1225373213,8,161344,72
java;session;ssh;connection;jsch,62796891,JSch connection issue: JSchException: Algorithm negotiation fail – Even with JCE installed,1594217811,2,9716,1
java;error-handling;connection;rundeck;socket-timeout-exception,77721053,A stage in pipeline having java.net.SocketTimeoutException: timeout error for rundeck server connection with child server,1703669234,0,13,0
java;kotlin;gradle;intellij-idea;tornadofx,77713888,error for lunshing a kotlin intellij application,1703512331,0,30,-1
java;linux;crystal-reports;report,77720940,Getting error java.lang.AbstractMethodError on ReportClientDocument.open() call on Crystal Report 2016,1703667721,0,12,0
java;xml;spring-boot;dom;soap,77712627,org.w3c.dom.DOMException: NAMESPACE_ERR: Migration from Java8 to Java17,1703483895,1,75,0
java,2446426,What is the cause of an UnsatisfiedLinkError?,1268649478,4,52408,11
java;android;google-play-console;android-wallpaper;wallpapermanager,77720233,Can&#39;t seem to locate the error in my app that Google&#39;s closed testing results show while reviewing my app for Play store,1703656031,0,19,0
java;nosuchelementexception;apache-httpclient-5.x,77720037,CloseableHttpClient execute call results in NoSuchElementException,1703651116,0,28,1
java;android-studio,77719806,Caused by: java.net.UnknownHostException: No such host is known (repo.maven.apache.org),1703644076,1,19,0
java;jackson,77709907,Jackson Error &quot;no delegate- or property-based Creator&quot; on trying to use record after upgrading to 2.15.3,1703401988,1,44,-1
java;android;qualcomm;quectel,77719758,"java.lang.IllegalStateException,Too many receivers, total of 1000",1703642515,0,41,-2
java;spring;maven;spring-mvc,24746825,Setting property &#39;source&#39; to &#39;org.eclipse.jst.jee.server (404 Error),1405375676,1,13618,1
java;spring-boot;hibernate;spring-data-jpa,77719286,Hibernate Core upgrade from version 6.1.7 to 6.2.2 causes DataIntegrityViolationException,1703628868,0,23,0
java;spring-boot;jackson;deserialization;jackson2,44854799,InvalidDefinitionException while using JsonCreator with JsonProperty.Access.READ_ONLY,1498856659,1,11290,1
java;spring-boot;couchbase;spring-data-couchbase,53764913,org.springframework.data.mapping.model.MappingInstantiationException: Failed to instantiate object with new boolean field,1544714234,3,2473,3
java;tomcat;intellij-idea;catalina,61835957,Exception fixing &quot;docBase&quot; for context [/appName],1589628152,1,4717,2
java;postgresql;spring-boot;docker;maven,77719031,"Running a springboot application in local works fine and I am able to access all the apis, but the docker image running is giving 404 error",1703623396,0,30,0
java;maven;java-8;struts2;struts2-convention-plugin,77700289,Cannot load web page when running Struts2 v6.3.0.2 - ran java.lang.NoClassDefFoundError,1703189210,0,47,-1
java;excel;eclipse;apache,43701326,CellType cannot be resolved to a variable setCellType error Apache POI - Java,1493507473,3,12334,2
java;minecraft;minecraft-forge,77718742,error: &#39;{&#39; expected public static class TutorialMod.java{ AND error: &lt;identifier&gt; expected public TutorialMod.java() {,1703617126,0,45,-4
java;android;flutter;dart;build,77718714,Flutter : Java error : duplicate class: io.flutter.plugins.GeneratedPluginRegistrant,1703616686,0,19,0
java;spring-boot;spring-boot-actuator;spring-boot-3,77710370,Actuator endpoints returning 500 error after upgrade to spring boot 3,1703415080,0,54,0
java;spring-boot;rest;nullpointerexception;sonarqube,68675995,try to fix SonarQube bug - A &quot;NullPointerException&quot; could be thrown,1628222650,2,5748,1
java;spring;jpa;spring-data-jpa,77717784,JPA fetching list from the database showing error,1703601750,0,32,-2
java;swing;netbeans,77717475,"Unable to import images, getting error Cannot invoke &quot;java.net.URL.toExternalForm()&quot; because &quot;location&quot; is null",1703596878,0,26,1
java;flutter;websocket,77717752,HandshakeException: Handshake error in client (OS Error: WRONG_VERSION_NUMBER(tls_record.cc:231)),1703601210,0,13,0
java;intellij-idea;crystal-reports,37110446,Getting error java.lang.AbstractMethodError on ReportClientDocument.open() call,1462780673,1,1153,1
java;android;encryption,77717311,javax.crypto.AEADBadTagException: mac check in GCM failed issue facing in android while encrypting/decrypting,1703594641,0,49,0
java;android-studio;google-maps,77717582,Getting error in Android Studio while using google maps api,1703598404,0,12,0
java;spring;spring-boot;graalvm;graalvm-native-image,77709123,No such file or directory error on GraalVM,1703367331,1,32,0
java;multithreading;concurrency,77716768,Thread - JDK0.1 - getting error when I check [this != currentThread()],1703586239,2,55,0
java;pdfbox,77717421,PDFBox prints giant error and takes very long to create PDF,1703595963,0,22,0
java;spring-boot;base64;ioexception,77717257,IOException -&gt; invalid stream header: FFD8FFE0,1703594049,0,42,-3
java;maven;javafx;jar;jsoup,77716740,"Given a .jar file which is running into &quot; java.lang.NoClassDefFoundError: org/jsoup/Jsoup&quot;, how to include JSOUP, so that the .jar runs successfully?",1703585885,0,29,-1
java;security;applet,20041092,User has denied the privileges to the code error during applet running,1384754367,1,10992,2
java;android;file;nullpointerexception;google-play-console,77709688,NullPointerException using constructor of `File` class (only on Samsung A series devices) in my application,1703392603,1,102,-1
java;spring;spring-boot;jpa;spring-data-jpa,77713194,JPA MappedSuperclass (generic) with error Named type [interface java.util.List] did not implement BasicType nor UserType,1703497170,0,37,-2
java;android;intellij-idea;sdk,77710405,Switching IntelliJ Project from Java 8 to 11 gives compile error,1703415871,1,51,-2
java;android;github;gradle-kotlin-dsl;jitpack,77716203,ERROR: No build artifacts found while publising library to android sdk to jitpack,1703576720,0,18,0
java;amazon-web-services;apache-kafka;apache-flink;aws-msk,77716072,Timeout exception for node assignment. Call: describeTopics in Managed Apache flink application using Kafka as source,1703574613,0,21,0
java;netbeans,77715840,Could not find or load main class Caused by: java.lang.ClassNotFoundException: Mire,1703569856,0,34,-1
java;spring;spring-boot;spring-security,77715151,spring-boot:3.2.1 (spring-security-config:6.2.1) Upgrade Issue: Error Creating Bean &#39;springSecurityFilterChain&#39;,1703545141,1,190,0
java;android;android-room;access-modifiers,72508332,Android Studio: &quot;attempting to assign weaker access privileges&quot; error on Room Database implementation,1654440532,10,9778,20
java;reactjs;spring;spring-boot;okta-api,77430198,springboot x react - Okta OAuth2 (401 error API),1699264812,1,49,1
java;apktool,77714798,How to fix APK-Multi-Tool java decompile error?,1703533431,0,34,-4
java;exception;java.util.scanner;inputmismatchexception,77714503,"I get no runtime error using int, but get an error using double",1703525937,0,44,-1
java;spring-boot;oauth-2.0;todoist,74966828,Spring OAuth2: Error when redirecting to the access_token from Todoist OAuth2,1672446905,0,273,0
java;spring;spring-boot,77714464,SprinBoot Application-Factory method &#39;dataSource&#39; threw exception with message: Cannot load driver class: com.mysql.cj.jdbc.Driver,1703524807,0,39,-4
java,36805374,Uncompilable source code - cannot find symbol error,1461372893,4,9467,0
java;android,16807520,Getting buffer capacity error while trying to download image located by a URL,1369811067,1,512,0
java;deployment;quarkus;heroku-cli;java-opts,77337621,heroku local web returns java.lang.ClassNotFoundException: \\$JAVA_OPTS for quarkus app,1697919016,0,136,0
java;android;eclipse;networking;proxy,8818868,java.net.SocketException: Address family not supported by protocol in android emulator,1326283204,4,9617,6
java;android;flutter,68896788,Flutter development - ERROR: JAVA_HOME is not set and no &#39;java&#39; command could be found in your PATH,1629740121,4,9370,3
java;android;android-studio,77713778,Errors Android Studio MainActivity.java,1703510013,0,28,0
java;selenium-webdriver;fluentwait,77343239,Selenium NoSuchElementException when waiting,1698044909,1,52,1
java;slf4j,14148017,Log exception and parameters,1357250736,2,2057,2
java;maven;jax-rs;java-ee-8;payara-micro,76917223,Java EE: Payara micro server not generating REST endpoints (404 error),1692221831,2,125,1
java;php;ajax;tomcat;servlets,77712385,"Ajax call to Servlet: Error occurred during initialization of VM,Failed to mark memory page as executable - check if grsecurity/PaX is enabled",1703474905,0,24,-1
java;minecraft;minecraft-fabric,77664897,Rendering minecraft fabric error: cannot find symbol,1702626427,1,35,0
java;spring;upload;spring-webflux;multipart,77712720,"spring webflux multipart file uplad error,Could not find first boundary",1703486383,0,29,0
java;selenium-webdriver;jmeter;selenium-chromedriver;jmeter-plugins,77712515,WebDriver returns error 500 in Jmeter Selenium,1703480238,2,40,0
java;gradle;minecraft;gradlew;minecraft-fabric,77712801,error: package net.fabricmc.fabric.api.client.command.v2 does not exist import net.fabricmc.fabric.api.client.command.v2.ClientCommandManager;,1703488866,0,23,0
java;android;android-studio;gradle;aapt,63997710,Android Studio - AAPT: error: file failed to compile with PNG images,1600711451,9,20696,12
java;xml;web-services;soap;domparser,18734576,org.xmlGetting exception while parsing XML.sax.SAXParseException: The content of elements must consist of well-formed character data or markup,1378882562,1,10070,0
java;sockets,13691966,SocketException: Permission denied: connect,1354569869,5,30554,6
java;pdfbox,71063120,PDFBox 2.0.25 java.io.IOException: Unknown dir object c=&#39;&gt;&#39; cInt=62 peek=&#39;&gt;&#39; peekInt=62 at offset 26096 (start offset: 26096),1644487493,2,917,1
java;hibernate;glassfish-4,18149339,Hibernate: org.hibernate.service.spi.ServiceException: Unable to create requested service [org.hibernate.engine.spi.CacheImplementor],1376059190,1,12435,0
java;spring-boot;microservices,46131196,com.netflix.discovery.shared.transport.TransportException: Cannot execute request on any known server,1504963577,20,128929,47
python;java;cmake;chromium-embedded,77421784,Chromium Embedded Framework - ModuleNotFoundError: No module named &#39;six.moves&#39;,1699096529,1,65,0
java;android;android-studio;logcat,67286627,java.lang.NoClassDefFoundError: Failed resolution of: Landroidx/appcompat/app/AppCompatActivity;,1619539261,1,2438,1
java;jakarta-ee;weblogic;classloader;weblogic-10.x,8761410,java.net.ConnectException: after adding weblogic-application.xml,1325868958,1,11240,2
java;spring;spring-boot;maven;spring-data-jpa,77711280,Error creating bean with name &#39;entityManagerFactory&#39;: Property &#39;com.example.shopping.models.Account.orders&#39; is not a collection,1703436899,2,87,0
java;maven;quarkus;quarkus-panache,77711256,Quarkus Arc: Unsatisfied dependency for PanacheRepository in CDI service - jakarta.enterprise.inject.spi.DeploymentException,1703436248,0,21,1
java;spring-boot;netflix-eureka,77684538,how to solve netflix eureka client error in spring boot 3.2.0 and java 17,1702982092,1,176,0
java;exception;error-handling;quarkus;quarkus-reactive,77709374,How to properly handle json to class-instance conversion errors in Quarkus,1703376862,1,37,0
java;minecraft-forge,77706774,Forge1.20.4 - Error at blockState class in unClient,1703311644,1,51,-1
java;sql;spring-data-jpa;postgis;hibernate-spatial,77710177,ERROR: function does not exist when invoking the function using spring-data repository method,1703410500,0,34,0
java,75487327,java.time.temporal.UnsupportedTemporalTypeException: Unsupported unit: Seconds,1676653980,5,3251,3
java;jsp;struts;apache-commons-beanutils,40756636,Error HTTP 500- javax.servlet.ServletException: BeanUtils.populate: NullPointerException,1479878579,1,10167,1
java,77709606,I can&#39;t run my java code in Eclipse because there is an error about loading/finding the main class,1703388160,0,50,0
java;spring;postgresql,60824565,"PSQLException: The server requested password-based authentication, but no password was provided",1585020558,2,11968,2
java;sql-server;exception,9759319,com.microsoft.sqlserver.jdbc.SQLServerException: The index 2 is out of range,1332082597,1,13558,3
java;oracle;oracle-sqldeveloper;oracle-xe,77676486,ORA-17059 SQL Exception (Fixed),1702859854,0,39,0
java;ssl;webservice-client,21245796,javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake during web service communicaiton,1390258344,21,623322,104
java;ssl;tls1.2;tls1.3,72853449,TLSv1.3 - java.io.EOFException: SSL peer shut down incorrectly,1656921555,2,6349,2
java;spring;hibernate;jpa;inheritance,77707628,JPA Repository with Inheritance - SQL Error: Column &#39;clazz_&#39; not found,1703334464,1,32,0
java;sonarqube;sonarqube-scan,39753072,Sonarqube scan error with line out of range?,1475080442,12,23973,34
java;visual-studio-code,77708754,getting a repeated error called Error: Could not find or load main class Array Caused by: java.lang.ClassNotFoundException: Array,1703358861,0,35,-2
java;android,26453661,"Android java.lang.IndexOutOfBoundsException: Invalid index 1, size is 1",1413741719,3,3322,3
java;android;android-gradle-plugin;retrofit,55118903,ERROR: Cannot add task &#39;clean&#39; as a task with that name already exists,1552385432,1,32187,25
java;spring;spring-boot;upgrade,71604411,Running into an error after upgrading springboot from 2.3.9 to 2.6.3,1648132482,1,2779,14
java;maven;lombok,77703536,Error executing Maven for Lombok with Java 17,1703246737,2,75,0
java;fortify,12898142,How to avoid false positive &quot;Null Dereference&quot; error in Fortify,1350312453,2,16996,6
java;spring;spring-mvc;spring-security;openid,20401795,Exception sending context initialized event to listener instance of class org.springframework.web.context.ContextLoaderListener,1386251591,1,56545,1
java;oracle;servlets;weblogic,11266049,BeanAlreadyExistsException - Oracle WebLogic,1340989700,4,18439,5
java;android;android-studio;java-native-interface;androidpdfviewer,73408557,"Android: Trying to compile native code, getting UnsatisfiedLinkError: No implementation found",1660851333,1,904,1
java;sql-server;jdbc;sql-server-2014;mssql-jdbc,77706769,Why do I get errors connecting to SQL Server in NetBeans 19,1703311485,0,34,-1
